Name,Site,Link,Server,Client,Installed,Category,Notes
Fabric API,Modrinth,https://modrinth.com/mod/fabric-api,x,x,x,core,
LuckyPerms,Modrinth,https://modrinth.com/plugin/luckperms,x,,x,Management,
Coblemon,Modrinth,https://modrinth.com/mod/cobblemon,x,x,x,cobblemon,
Lootr,Modrinth,https://modrinth.com/mod/lootr,x,x,x,social,
Lootrmon,Modrinth,https://modrinth.com/mod/lootrmon,x,x,x,"social,patch",
Simple Voice Chat,Modrinth,https://modrinth.com/mod/simple-voice-chat,x,x,x,social,
Simple Voice Chat enhanced group,Modrinth,https://modrinth.com/mod/enhanced-groups,x,x,x,social,
Legacy4J,Modrinth,https://modrinth.com/mod/legacy4j,x,x,x,core,
configManager,Modrinth,https://modrinth.com/mod/configmanager,,x,x,management,
Cobblemon: Generation Spawns,Curse Forge,https://www.curseforge.com/minecraft/mc-mods/cobblemon-generation-spawns,X,,x,cobblemon,
Captue xp,Modrinth,https://modrinth.com/mod/cobblemon-capture-xp,x,,x,cobblemon,
cobblemon extras,Modrinth,https://modrinth.com/mod/cobblemon-battle-extras,x,x,x,cobblemon,
auto whitelist,Modrinth,https://modrinth.com/mod/autowhitelist,x,,x,admin,
Lithium,Modrinth,https://modrinth.com/mod/lithium,x,x,x,optimization,
Sodium,Modrinth,https://modrinth.com/mod/sodium,,x,x,optimization,
Sodium Extra,Modrinth,https://modrinth.com/mod/sodium-extra,,x,x,optimization,
Entity Culling,Modrinth,https://modrinth.com/mod/entityculling,,x,x,optimization,
Ferrite Core,Modrinth,https://modrinth.com/mod/ferrite-core,x,x,x,optimization,
Clumps,Modrinth,https://modrinth.com/mod/clumps,x,x,x,optimization,
Iris,Modrinth,https://modrinth.com/mod/iris,,x,x,shader,
C2ME (chunk load),Modrinth,https://modrinth.com/mod/c2me-fabric,x,,x,chunk,
chunky,Modrinth,https://modrinth.com/plugin/chunky,x,x,x,chunk,
Show Me Your skin,Modrinth,https://modrinth.com/mod/show-me-your-skin,,x,x,social,
Watut,Modrinth,https://modrinth.com/mod/what-are-they-up-to,x,x,x,social,
Show Weapon,Modrinth,https://modrinth.com/mod/weaponmaster,x,x,x,social,
Pokebelt,Modrinth,https://modrinth.com/mod/pokebelt-cobblemon,x,x,x,cobblemon,
Mod Menu,Modrinth,https://modrinth.com/mod/modmenu,,x,x,ui,
Cubes Without borders,Modrinth,https://modrinth.com/mod/cubes-without-borders,,x,x,ui,
Jade,Modrinth,https://modrinth.com/mod/jade,x,x,x,ui,
jade add on,Modrinth,https://modrinth.com/mod/jade-addons-fabric,x,x,x,ui,
apple skin,Modrinth,https://modrinth.com/mod/appleskin,x,x,x,ui,
controlling (keybinds) ,Modrinth,https://modrinth.com/mod/controlling,,x,x,ui,
default options,Modrinth,https://modrinth.com/mod/default-options,,x,Yes,config,
debugify,Modrinth,https://modrinth.com/mod/debugify,x,x,Yes,bug,
distance Horizons,Modrinth,https://modrinth.com/mod/distanthorizons,x,x,Yes,graphic,
not enough animations,Modrinth,https://modrinth.com/mod/not-enough-animations,,x,Yes,animations,
Patchouli,Modrinth,https://modrinth.com/mod/patchouli,x,x,Yes,design,
Status Effect Timer,Modrinth,https://modrinth.com/mod/statuseffecttimer,,x,Yes,ui,
Detail Armor Bar,Modrinth,https://modrinth.com/mod/detail-armor-bar,,x,Yes,ui,
Better advancemnet,Modrinth,https://modrinth.com/mod/better-advancement-info,,x,x,ui,
Easy Shulker Box,Modrinth,https://modrinth.com/mod/easy-shulker-boxes,x,x,Yes,ui,
Lighty,Modrinth,https://modrinth.com/mod/lighty,,x,Yes,ui,
Pick up Notification,Modrinth,https://modrinth.com/mod/pickup-notifications,x,x,Yes,ui,
better f3,Modrinth,https://modrinth.com/mod/betterf3,,x,Yes,ui,
build wand,Modrinth,https://modrinth.com/mod/building-wands,x,x,Yes,item,
guard villagers,Modrinth,https://modrinth.com/mod/guard-villagers-(fabricquilt),x,x,Yes,character,
nature compass,Modrinth,https://modrinth.com/mod/natures-compass,x,x,Yes,item,
explorer compass,Modrinth,https://modrinth.com/mod/explorers-compass,x,x,Yes,item,
waystone,Modrinth,https://modrinth.com/mod/waystones,x,x,Yes,item,
leaf me alone,Modrinth,https://modrinth.com/mod/leaf-me-alone,x,x,Yes,tweak,
polymorph,Modrinth,https://modrinth.com/mod/polymorph,x,x,Yes,ui,
leaves be gone ,Modrinth,https://modrinth.com/mod/leaves-be-gone,x,x,Yes,tweak,
stack refill,Modrinth,https://modrinth.com/mod/stack-refill,x,x,Yes,tweak,
fast frames,Modrinth,https://modrinth.com/mod/fast-item-frames,x,x,Yes,tweak,
dynamic lights,Modrinth,https://modrinth.com/mod/lambdynamiclights,,x,Yes,ui,
boat view,Modrinth,https://modrinth.com/mod/boat-item-view,,x,Yes,ui,
road weaver,Modrinth,https://modrinth.com/mod/roadweaver,x,x,Yes,world,
stream reflowing,Modrinth,https://modrinth.com/mod/streams-reflowing,x,x,Yes,world,
map atlases,Modrinth,https://modrinth.com/mod/map-atlases,x,x,Yes,item,
cut through,Modrinth,https://modrinth.com/mod/cut-through,,x,Yes,tweak,
contituity,Modrinth,https://modrinth.com/mod/continuity,x,x,Yes,graphic,
cobblemon additions,Modrinth,https://modrinth.com/datapack/cobblemon-additions,x,x,Yes,cobblemon,
